type,x1,y1,z1,x2,y2,z2,length,handle
line,-17698.9358,-6569.2323,0.0,-17799.7584,-6444.7267,0.0,160.2087,15649
line,-17135.1493,-6667.5706,0.0,-16831.7522,-7053.117,0.0,490.6076,155eb
line,-17412.3469,-6894.7517,0.0,-17118.3771,-7264.3201,0.0,472.2277,155ea
line,-19010.0395,-11252.6288,0.0,-18926.277,-11356.0669,0.0,133.0999,155e6
line,-17584.4202,-6479.4456,0.0,-17513.5857,-6423.9074,0.0,,155e4
line,-17675.0626,-5978.9972,0.0,-17611.8159,-6057.1003,0.0,100.5,155e3
line,-18149.8451,-5392.6896,0.0,-18086.2837,-5471.1814,0.0,101.0,155e2
line,-17139.1174,-6130.3033,0.0,-17068.283,-6074.7651,0.0,,155e1
line,-17253.1105,-5989.5336,0.0,-17182.2359,-5934.045,0.0,,155e0
line,-16858.4536,-5904.8486,0.0,-16788.5104,-5848.2098,0.0,,155df
line,-16969.6121,-5767.5793,0.0,-16898.7375,-5712.0908,0.0,,155de
line,-16612.6664,-5541.7523,0.0,-16555.4467,-5611.2251,0.0,,155dd
line,-16972.8842,-5104.3969,0.0,-16915.6645,-5173.8697,0.0,,155dc
line,-17128.5555,-4915.3899,0.0,-17071.3359,-4984.8626,0.0,,155db
line,-17586.2302,-4818.3141,0.0,-17496.2302,-4819.2277,0.0,,155da
line,-18067.2302,-4813.4315,0.0,-17977.2302,-4814.3451,0.0,,155d8
line,-18231.7496,-5291.5459,0.0,-18288.2405,-5221.7854,0.0,,155d7
line,-18372.3562,-5117.9113,0.0,-18428.8471,-5048.1508,0.0,,155d6
line,-18695.1127,-4807.0579,0.0,-18785.1127,-4806.1443,0.0,,155d5
line,-18785.1127,-4948.2999,0.0,-18695.1972,-4948.9728,0.0,,155d4
line,-19176.0496,-4805.3734,0.0,-19266.0496,-4805.3734,0.0,,155cc
line,-19171.1178,-4949.3717,0.0,-19261.0496,-4948.8127,0.0,,155cb
line,-19845.3923,-5483.9986,0.0,-19933.4972,-5375.1981,0.0,140.0,155ca
line,-20665.4171,-5072.731,0.0,-20592.751,-5013.957,0.0,,155c9
line,-21316.2058,-5599.7991,0.0,-21249.2784,-5545.2711,0.0,,155c8
line,-21515.7508,-5760.9368,0.0,-21442.9487,-5702.4335,0.0,,155c7
line,-22264.3878,-6366.8358,0.0,-22196.1062,-6311.573,0.0,,155c6
line,-21364.1243,-10077.8696,0.0,-21041.0178,-10480.6034,0.0,516.3258,155c2
line,-21081.4751,-9862.9783,0.0,-20757.4345,-10251.4775,0.0,505.8991,155b7
line,-20020.3737,-10786.1058,0.0,-19905.0902,-10926.4455,0.0,181.6192,155b1
line,-17594.7026,-10323.2819,0.0,-17525.7706,-10266.466,0.0,,155b0
line,-17868.8411,-10549.2351,0.0,-17938.2936,-10606.4799,0.0,,155af
line,-18309.8234,-10912.706,0.0,-18379.2758,-10969.9508,0.0,,155ae
line,-17254.1885,-7442.2526,0.0,-17167.3487,-7374.6991,0.0,110.021,155ad
line,-18503.4257,-7243.7132,0.0,-18422.2323,-7177.9641,0.0,104.4764,155ac
line,-18274.9712,-7524.0491,0.0,-18190.801,-7457.5316,0.0,107.281,155ab
line,-17421.3967,-7698.0919,0.0,-17358.773,-7648.5393,0.0,,155aa
line,-18134.1404,-8267.0313,0.0,-18203.7764,-8322.6175,0.0,,155a9
line,-18286.2309,-8388.4358,0.0,-18367.5845,-8453.3754,0.0,104.0939,155a8
line,-19141.6474,-9071.2621,0.0,-19067.1253,-9011.7758,0.0,,155a7
line,-19228.4005,-9140.5118,0.0,-19296.5458,-9194.908,0.0,,155a6
line,-20079.5184,-9819.9068,0.0,-20009.2518,-9763.8173,0.0,,155a4
